"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","token ile booking oluşturma","api","2026-09-21","passed","2026-09-21","Restful-Booker API Testleri","api/restful-booker.spec.ts","",""
"","438","login test visual_user","smoke","2026-09-21","passed","2026-09-21","parametrize login","smoke/03-login.spec.ts","",""
"","726","Login oturumunu kaydet","setup","2026-09-21","passed","2026-09-21","","auth.setup.ts","",""
"","452","yeni kullanıcı oluşturma - POST isteği","api","2026-09-21","passed","2026-09-21","ReqRes API Testleri","api/reqres.spec.ts","",""
"","37","auth token alma","api","2026-09-21","passed","2026-09-21","Restful-Booker API Testleri","api/restful-booker.spec.ts","",""
"","513","login test standard_user","smoke","2026-09-21","passed","2026-09-21","parametrize login","smoke/03-login.spec.ts","",""
"","389","checkbox","smoke","2026-09-21","passed","2026-09-21","","smoke/04-checkbox.spec.ts","",""
"","429","login test error_user","smoke","2026-09-21","passed","2026-09-21","parametrize login","smoke/03-login.spec.ts","",""
"","5575","login test performance_glitch_user","smoke","2026-09-21","passed","2026-09-21","parametrize login","smoke/03-login.spec.ts","",""
"","184","kullanıcı listesi çekme - GET isteği","api","2026-09-21","passed","2026-09-21","ReqRes API Testleri","api/reqres.spec.ts","",""
"","455","login test problem_user","smoke","2026-09-21","passed","2026-09-21","parametrize login","smoke/03-login.spec.ts","",""
